job_title,job_description,job_requirements,job_deadline
"Sr. Engineer, Application Security / Sensor - Product Security (Remote)",,"['Experience programming in or assessing security of C/C++ apps for Windows, Linux or Mac', 'Understanding of system internals and security features for Windows, Linux or Mac', 'Comfort with concurrency considerations in multi-threaded applications', 'Understand the security implications of containerization and virtualization', 'A working understanding of how software products are created and shipped in Agile/DevOps like environments – enough to have a positive working relationship with product engineers (software product development experience is a huge plus, but not a requirement)', 'A solid understanding of common software weaknesses that impact endpoint and client/server applications; you’ll be hunting for these, you need to know them when you see them and be able to help product engineers understand and fix them', 'Comfort with collaborating across technical teams: asking technical questions, challenging assumptions, getting or providing context for decisions, etc.', 'These skills are not required and/or we’re willing to teach them, but they are helpful:', 'C/C++ programming/review', 'Experience with debuggers like Ghidra, IDA Pro, or other similar tools', 'Experience developing/maintaining automation for application security tasks', 'Experience developing and using threat models, especially using STRIDE', 'Application penetration testing experience, especially if it includes testing against install packages and control bypass methods', 'Reverse-engineering or malware analysis, or related security research capabilities', '#LI-SF1', '#LI-MF1', '#LI-Remote', '#HTF']",01-04-2025
"Sr. Engineer, Identity and Access Management - Product Security (Remote)",,"['Deep expertise in cloud IAM services (e.g. AWS IAM, Azure Entra, GCP IAM, OCI IAM)', 'Experience building access provisioning and governance systems-as-a-service (e.g. just-in-time, self-service, zero trust, service mesh)', 'Familiarity with infrastructure as code (e.g. Terraform, SaltStack, Ansible)', 'Strong understanding of identity federation and SSO (e.g. OAuth, OIDC, SAML, SCIM)', 'Proficiency in scripting and automation to ease IAM operations and integrations (e.g., Python, Bash, Go).', 'Experience with Cloud-scale, business-critical Linux and/or other Unix-like variant environments', 'Experience operating at scale and complexity in services and users.', 'Demonstrated ability to run projects with diverse stakeholders and ensure successful delivery in a fast-paced environment with teams that engineer products and bring them to market.', 'Experience with Microsoft Active Directory design and management.', 'Experience with compliance frameworks (e.g., NIST, FedRAMP, FIPS, PCI-DSS).', 'Familiarity with cloud security and experience securing cloud-based applications and services in AWS, GCP, OCI, and/or Azure Cloud environments.', '#LI-SF1', '#LI-MF1', '#LI-Remote', '#HTF', 'This role will require the candidate to periodically undergo and pass additional background and fingerprint check(s) consistent with government customer requirements.']",01-06-2025
Sr. Engineer in Test - MacOS Sensor (Remote),"This is a Software Development Engineer in Test (SDET) position on the macOS sensor engineering team, in the detection space. At CrowdStrike, SDETs and SDEs work together in combined engineering teams. SDETs are key contributors on the team, focusing on the quality of the sensor. SDETs use their strong software development skills to build effective tools, harnesses, and specialized tests to assure that quality goals are met for each new capability. SDETs also participate actively in design and code reviews, and collaborate with the research, hunting, and cloud teams to ensure end-to-end sensor functionality.  Successful engineers in this role have: an understanding of macOS kernel and user space, a passion for continuous learning to keep up with an ever-changing threat landscape, a creative mindset for designing new code validation methods to increase the quality, performance and the reliability of the shipped code.","['5+ years of experience with either:', 'Pentesting, reverse engineering, threat detection or analysis; and an interest in software quality, validation and testing, or', 'Designing, building, and delivering frameworks and test harnesses to ship\xa0 high-quality software in at least one of the following: Swift, C/C++, Python, Objective-C; and a demonstrated interest in security.', '1 year of experience in using big data to analyze and monitor software quality metrics.', 'Low-level OS knowledge of macOS and/or Linux operating system internals, components, APIs and/or frameworks.', 'Team player – able to lead, mentor, communicate, collaborate, and work effectively in a distributed team, to clearly articulate thoughts & designs to peers and upper management', 'Prior security experience, particularly always-on systems, endpoint threat detections or sensor development. Familiarity with the threat landscape on Linux/Windows is a plus', 'Experience with macOS Frameworks and events relevant to security and recent familiarity with the latest developments in macOS', 'Experience developing 24/7 enterprise software, including CI, testing, debugging, performance tracing, release management, telemetry analysis and issue handling', 'Expertise in using performance profiling tools and debuggers to analyze crash dumps', '#LI-Remote', '#LI-NT1', '#HTF']",12-10-2024
"Sr. SDET - Cloud, EPP Product (Remote)",,"['• Technical Expertise That Sets You Apart:', 'Deep experience building large-scale test automation frameworks', 'Mastery of cloud-native testing approaches', 'Strong coding skills that rival development engineers', 'Proven track record of solving complex testing challenges', '• Cloud Testing Arsenal:', 'Expert knowledge of modern testing tools and frameworks', 'Deep understanding of distributed systems testing', 'Experience with performance testing at scale', 'Security testing mindset', '• Engineering Excellence:', 'Ability to think strategically about quality', 'Strong system design and architecture skills', 'Excellent problem-solving capabilities', 'Passion for engineering best practices', '• The ""X-Factors"" That Make You Exceptional:', 'Track record of innovative testing solutions', 'Contributions to the testing community', 'Experience leading technical initiatives', 'Open source project leadership', '• Technical Depth:', 'Advanced performance testing experience', 'Deep knowledge of security testing', 'Service mesh testing proficiency', '#LI-NT1', '#LI-Remote', '#HTF']",01-04-2025
Sr. SDET - Linux Sensor (Remote),"CrowdStrike Falcon Host is a two-component security product. One component is a “sensor”: a driver installed on client machines that observes system activity and recognizes malicious behavior, then provides on-box prevention capability and remote telemetry to the Falcon Host cloud. The sensor processes thousands of events per second to provide deep visibility into operations on the endpoint, and performs rich correlation and computation to identify malicious events and blocks malicious activity. The cloud component aggregates sensor telemetry for each customer’s network, correlates malicious behavior across multiple machines, and presents our customers’ operations teams with a prioritized summary of the threats detected in their environments.  This is a Software Development Engineer in Test (SDET) position on the Linux sensor engineering team. At CrowdStrike, SDETs and SDEs work together in combined engineering teams. SDETs are key contributors on the team, focusing on the quality of the sensor. SDETs use their strong software development skills to build effective tools, harnesses, and specialized tests to assure that quality goals are met for each new capability. SDETs also participate actively in design and code reviews, and collaborate with many engineering teams to assure end-to-end system functionality.As an SDET within the Linux Sensor team you will be focused on the validation of major telemetry and detection capabilities on the endpoint. You will collaborate with developers, enhancing our sensor and build test suites for sensor features, including both on-device testing and end-to-end validation. You will collaborate with multiple teams within engineering, and be expected to make significant contributions to the design, development, implementation, and quality of major development projects. Additionally, you will contribute to the test infrastructure itself by developing new tools to enable efficient testing of projects under development.  Success in this Role Means:  Automating test processes for speed, reproducibility, and scalability. You will build integration tests, unit tests, system tests, performance tests and more.  Reviewing feature code and measuring the quality of functional and non-functional requirements.  Breaking software systems in creative and useful ways.  Collaborating both within and across teams to deliver quality software.  Thriving with aggressive goals, challenging projects, and responsibility over quality.  Building elegant, robust, and reliable solutions for complex technical problems.","['5+ years of hands-on SDET/test automation development experience with a passion to find bugs', 'A computer science background with a deep understanding of fundamental computer science concepts such as data structures, algorithms, concurrency, etc.', 'Demonstrated experience with CI/CD frameworks', 'Experience and ability to write and automate tests and bug reports', 'Prior experience developing code in Python and/or other scripting languages', 'Be able to read & understand C/C++ code.', 'Team player – demonstrated ability to communicate, collaborate, and work effectively in a globally distributed team.', 'Prior experience working with low-level code, or any Linux module development.', 'Prior experience with customer escalations and deployment tests', 'Prior experience working in a Cloud/container env.', 'Prior experience with pytest, Jenkins Understanding Event Driven architecture and cloud native technologies.', '#LI-NT1', '#LI-Remote', '#HTF']",12-10-2024
"Sr. Software Engineer - Cloud, IDP, Access Management","In this role, you will be responsible for building globally distributed, fault-tolerant, and highly scalable cloud ecosystems. You will design, lead and implement the next generation of CrowdStrike's world-leading Zero Trust technology inside the advanced cloud environment of the Falcon-platform.CrowdStrike, a leader in cloud-native next-generation endpoint protection, has recently launched its brand-new Identity Protection Product Group in Israel!","['Programming mastery in Java / C# or Go', '8+ years of industry experience building backend modules of distributed systems', 'BS or MS in Computer Science or related engineering discipline', 'Experience in building cloud-based solutions', 'Experience with networking technologies and/or cyber-security – advantage', 'Ability to work well with a group of senior engineers in a dynamic, fast paced environment.', '#LI-MZ1']",
"Sr. Software Engineer - Tools, SDX - MacOS (Remote)",,"['BS degree in Computer Science and/or equivalent experience.', '4 years-experience or greater in software engineering, quality engineering, or configuration management.', '4 years or greater of software development experience in Swift/Objective-C and/or Python.', 'Able to communicate, collaborate, and work effectively in a globally distributed team.', 'Experience working within MacOS', 'Desired Requirements:', 'Experience automating risk visibility discovery/reporting.', 'Experience automating release and build processes.', 'A strong understanding of how to quantify software product quality.', 'Professional experience developing tools reflecting/supporting quality innovations.', '#LI-CW1', '#LI-Remote', '#HTF']",12-10-2024
"Sr. Software Engineer - Windows Kernel, Core Platform (Remote, CAN)","CrowdStrike Falcon Host is a two-component security product. One component is a “sensor”: a driver installed on client machines that observes system activity and recognizes malicious behavior, then provides on-box prevention capability and remote telemetry to the Falcon Host cloud. The sensor processes thousands of events per second to provide deep visibility into operations on the endpoint, and performs rich correlation and computation to identify malicious events and blocks malicious activity.  The cloud component aggregates sensor telemetry for each customer’s network, correlates malicious behavior across multiple machines, and presents our customers’ operations teams with a prioritized summary of the threats detected in their environments.  This is a Senior Software Development Engineer (SDE) role in the engineering team that delivers the sensor (lightweight agent) on Windows. SDE’s in the team own design and development of core features on the platform. Features will cross-cut most core OS subsystems such as file system, memory, process, and networking. Many features are also built in a way that they will have shared components across Linux and Mac. The team operates under the Agile development principles and ships frequently.","['In depth knowledge with C++ and Windows OS Kernel and Driver Development', 'Strong low-level OS internals in Windows', 'Experience debugging memory corruptions, process contentions and system performance', 'Experience working with teams to ship major features and releases.', 'Lead, mentor, communicate, collaborate, and work effectively in a distributed team', 'Strong background in scalable, light-weight and highly performing systems', 'OS system expertise for core concepts and subsystems', 'Familiarity and experience with Agile process', 'Knowledge in Security', '#LI-Remote', '#LI-CW1', '#LI-OC1', '#HTF']",
"Sr. Software Engineer, Backend - Falcon Auth (Remote)",,"['8+ years of backend object-oriented development experience in production, with any of: Golang, Java, Scala, Node.js, Python or C# (.NET Core).', 'Experience with AuthN and/or AuthZ', 'Recent experience building high scale event driven microservices architecture (at least 5M events/day +)', 'The ability to scale backend systems – sharding, partitioning, scaling horizontally are second nature to you.', 'Degree in Computer Science (or commensurate experience in data structures/algorithms/distributed systems).', 'The desire to ship code and the love of seeing your bits run in production.', 'Deep understanding of distributed systems and scalability challenges.', 'Deep understanding of multi-threading, concurrency, and parallel processing technologies.', 'Team player skills – we embrace collaborating as a team as much as possible.', 'A thorough understanding of engineering best practices from appropriate testing paradigms to effective peer code reviews and resilient architecture.', 'The ability to thrive in a fast paced, test-driven, collaborative and iterative programming environment.', 'The skills to meet your commitments on time and produce high quality software that is unit tested, code reviewed, and checked in regularly for continuous integration.', 'Experience with Fine Grained Access Control mechanisms like OpenFGA or Zanzibar', 'Authored and led successful open source libraries and projects.', 'Contributions to the open source community (GitHub, Stack Overflow, blogging).', 'Existing exposure to Go, Scala, AWS, Cassandra, Kafka, Elasticsearch...', 'Prior experience in the cybersecurity or intelligence fields', '#LI-Remote', '#LI-MP1', '#LI-DG1', '#HTF', 'This role will require the candidate to periodically undergo and pass additional background and fingerprint check(s) consistent with government customer requirements.']",
"Sr. Software Engineer, Code Analysis - ASPM Group (Hybrid, ISR)","We are seeking an exceptional and highly skilled Code Analysis Engineer to join our elite team. In this role, you will have the opportunity to develop, implement, and maintain code analysis algorithms.  This is a Hybrid position open to candidates in the Israel area.","['5+ years of hands-on experience in languages such as Go, Python, Java, or C/C++', 'Experience with research, reverse engineering, malware analysis or OS internals', 'Excellent problem-solving and critical thinking skills', 'Excellent communication skills and ability to work well in a team environment', 'Experience with code analysis tools such as static code analysis, dynamic analysis, and data flow analysis is an advantage', 'Experience in working with modern backend software architecture is an advantage.', '#LI-MZ1']",
Sr. Software Engineer - Falcon Fusion & Foundry (Remote),"Our Fusion Product is on the hunt for a Senior-to-Principal (Level 7) backend software Engineer to build out platform products which provide our external users with core orchestration and workflow capabilities within their own environments, including (but not limited to) automated threat remediation.      Falcon Fusion – a core ‘tier one’ offering in our Flagship Platform, Falcon – is the Falcon product used by customers to automate breach remediations within their environments. It also serves as the runtime of apps build by our Foundry Module, and is 'dogfooded' by us internally to automate other workflows and speed up development. With these many varied uses, it can be responsible for processing anywhere from 500M to 10B+ events/day and is in use by essentially every single customer of the Falcon Platform.      This role is for an experienced backend microservices developer adept with cloud engineering principles. Your passion and meticulous attention to performance, reliability and scalability will be key ingredients to your success here at CrowdStrike.","['Degree in Computer Science (or commensurate experience in data structures/algorithms/distributed systems).', 'Expert knowledge of any of the following backend languages: Go, Scala, Java, Node.js or Python (We use Go)', ""Over 7 years' experience in a full-time backend software development role, especially building high volume services and systems for a cloud-delivered SaaS product"", 'Ample experience with NoSQL databases for a SaaS product', 'Solid grounding in the technology of at least one cloud environment (AWS, Azure, GCP)', 'The ability to scale backend systems – sharding, partitioning, scaling horizontally are second nature to you.', 'The ability to troubleshoot and pinpoint system failures across a broad pipeline of services.', 'Deep understanding of distributed systems and scalability challenges, multi-threading, concurrency, and parallel processing technologies.', 'Proven expertise in building distributed systems, micro services, REST APIs', 'Experience developing applications using SQL and No-SQL databases', 'Contributed to the open source community (GitHub, Stack Overflow, blogging)', 'Master’s degree in computer science or related field', 'Golang experience', 'Prior experience with cybersecurity', '#LI-Remote', '#LI-MP1', '#LI-DG1', '#HTF', '#HTF']",02-06-2025
